微博id,微博发布时间,发布人账号,微博中文内容,微博图片,微博视频,情感倾向
4.45897E+15,01月09日 23:30,猪猪妈妈R,发烧了两天，今天终于活过来了（因为喂奶硬抗，睡了两天娃都不管了，还好家里来了菲佣）又变成了深夜爱刷手机的话痨熬夜真的对身体不好?,[],[],0
4.45896E+15,01月09日 23:00,流年长椅上的她,今天下的雨就是我的泪水没地方哭只能躲在实验室的厕所里哭，哭到纸都没得。好希望自己现在突然发烧，可以躺在床上睡觉休息，逃避实验?,[],[],-1
4.4597E+15,01月11日 23:50,是陈小梅啊,闹着要去拍照，闹着要去看雪，我爸打听了周边最近的雪收拾了一箱衣服……一个多小时车程雪地里有多开心！现在就多造孽……因为…发烧了……?,"['https://ww1.sinaimg.cn/thumb150/006HxkNdly1gat1vndgf7j33341fke83.jpg', 'https://ww1.sinaimg.cn/thumb150/006HxkNdly1gat1vp0oevj33k01n4qv6.jpg', 'https://ww1.sinaimg.cn/thumb150/006HxkNdly1gat1w89eqrj33k01n47wi.jpg', 'https://ww2.sinaimg.cn/thumb150/006HxkNdly1gat1wu91iwj33k01n4qv5.jpg', 'https://ww2.sinaimg.cn/thumb150/006HxkNdly1gat1vqr58fj33k01n47wi.jpg', 'https://ww2.sinaimg.cn/thumb150/006HxkNdly1gat1viamwuj30qo0cawgo.jpg', 'https://ww4.sinaimg.cn/thumb150/006HxkNdly1gat1vs7ikqj31fk334u0x.jpg', 'https://ww1.sinaimg.cn/thumb150/006HxkNdly1gat1tm6kapj31fk334b2b.jpg']",[],0
4.45969E+15,01月11日 23:32,KaChzy,回家第一天，发烧38.2，惨兮兮2延安?,[],[],-1
4.45969E+15,01月11日 23:23,淡紫珊瑚wen,好好照顾自己,['https://wx4.sinaimg.cn/orj480/006fw7tMly1fu7za118sij30f00qogms.jpg'],"['https://f.us.sinaimg.cn/001j1Qhelx07mNkeGe1G0104020078xB0k010.mp4?label=mp4_ld&template=360x640.24&Expires=1582139703&ssig=jXRQBfxCT3&KID=unistore,video']",0
4.45967E+15,01月11日 21:52,夏西西Hacc,今日份快乐终于可以拥有第二个半价了两年多没坐过船了，降温的晚上坐船游江边是什么人间疾苦，一点都不浪漫！周妈咪是多么蠢的GG！三桥真的好美哦！浓心爷爷发烧友（夏睡神的每日早餐代买好心人）终于组群了???,"['https://ww1.sinaimg.cn/orj360/c9cc0f00gy1gasyont329j21400u0wse.jpg', 'https://ww4.sinaimg.cn/orj360/c9cc0f00gy1gasyolyjk5j20u0140dmb.jpg', 'https://ww1.sinaimg.cn/orj360/c9cc0f00gy1gasyook2m1j21400u0wkl.jpg', 'https://ww3.sinaimg.cn/orj360/c9cc0f00gy1gasyop4viij20u01hcjxa.jpg']",[],0
4.46005E+15,01月12日 23:33,Sjveiveidbiwbsuqvsuqqsuebseva,我的正常体温是35°C以下那我38.9°C的时候是不是烧坏了??明天还要上班??加油吧愿以后没有发烧?,['https://ww4.sinaimg.cn/orj360/006gDE70ly1gau774s6aij30u00u0juk.jpg'],[],0
4.46006E+15,01月12日 23:53,回到以前1234吃鸡煲,发烧头痛欲裂?,[],[],-1
4.46005E+15,01月12日 23:28,我梦寐以求是真爱和财富自由,最近几天，右耳朵两次发烧，虽然科学解释了原因，但我还是觉得家里肯定有人念叨我了，而且大体说啥我都知道?,"['https://ww3.sinaimg.cn/orj360/006sVTKzly1gau73omtarj30hs0cdmy4.jpg', 'https://ww3.sinaimg.cn/orj360/006sVTKzly1gau73r00ybj30zk0k0n14.jpg']",[],0
4.46003E+15,01月12日 21:57,川川专属大宝贝儿,我姑娘经历过两次发烧之后，脾气越来越大，都不知道因为啥就耍驴，以前不是这样的啊！才一岁我就已经深感教育的压力！心累?,[],[],-1
4.46005E+15,01月12日 23:33,世界上我最喜欢你了,发烧太难受了…………穿了秋衣毛衣秋裤袜子贴了暖宝宝抱着热水袋的我还在被窝里瑟瑟发抖?,[],[],-1
4.46002E+15,01月12日 21:23,泽泽泽泽Y,一大把年纪还发烧，看着老爹远去买药的背影，突然好像明白了朱自清那篇《背影》?,['https://ww1.sinaimg.cn/orj360/bf631c17ly1gau3hbd8gjg20dw0afx5g.jpg'],[],0
4.46005E+15,01月12日 23:36,媛来我一直在这里,二哥昨天还在发烧今天就稳得一匹马，要注意休息才是,['https://wx2.sinaimg.cn/orj480/687a0f2egy1gau54y7knkj20f00k07bf.jpg'],"['https://f.video.weibocdn.com/0028uRWulx07A6zWwY9O010412014rOA0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1582139708&ssig=19coSWUumy&KID=unistore,video']",0
4.46005E+15,01月12日 23:28,你看我像不像个烤山药,再也不乌鸦嘴了发烧发的头要炸了?,[],[],-1
4.46006E+15,01月12日 23:49,bei2026,小崽流感发烧三天，彻夜难眠，这几天一直抱着小宝在手里很难放下，手都断了可我还是熬过来了，晚上看到小宝活力重现很为他开心，我付出多少换来你的平安健康都是值得的。深思最近几个月粉上ggdd的bjyx其实对他们的感情似乎对自己孩子的期待和爱，默默的投票呀支持他们买专辑各种软件全下了个遍。同事调?展开全文c,[],[],0
4.46002E+15,01月12日 21:31,洋洋洋lv,旅行也发烧的是不是只有我了?,"['https://ww2.sinaimg.cn/thumb150/75860b83gy1gau3phodpvj21o01o0x6q.jpg', 'https://ww3.sinaimg.cn/thumb150/75860b83gy1gau3q6or53j21o01o0x6p.jpg', 'https://ww1.sinaimg.cn/thumb150/75860b83gy1gau3pmec36j21o01o0b2a.jpg', 'https://ww4.sinaimg.cn/thumb150/75860b83gy1gau3put2t0j21o01o0e83.jpg', 'https://ww2.sinaimg.cn/thumb150/75860b83gy1gau3pqdrrej21o01o07wj.jpg', 'https://ww4.sinaimg.cn/thumb150/75860b83gy1gau3pyedquj21o01o07wj.jpg', 'https://ww3.sinaimg.cn/thumb150/75860b83gy1gau3pjljysj21o01o0e81.jpg', 'https://ww3.sinaimg.cn/thumb150/75860b83gy1gau3q3l9o4j22801o0qv7.jpg', 'https://ww2.sinaimg.cn/thumb150/75860b83gy1gau3pdt2lfj21o01o0qv6.jpg']",[],0
4.45988E+15,01月12日 12:00,昔你来时轻讽婆娑,冻得我打摆子别真把自己奶中了发烧了吧?,[],[],0
4.46006E+15,01月12日 23:39,蛋果子Cindy,昨晚六点小妞又有反复的迹象果断加了一次药，今天一天没再发烧，胃口也比昨天好了很多。咳嗽有点儿厉害但是拒绝喝糖浆只喝梨水。小妞人小威力大，麻麻姥姥都被传染了????。?,['https://ww1.sinaimg.cn/orj360/55995caely1gau7cr4azbj22c0340hdu.jpg'],[],0
4.46006E+15,01月12日 23:38,修修修小霞,最近的身体状况只能用糟糕形容感冒，发烧，姨妈痛，喝酒过度还要扛团队2人的任务，2座城市来回跑月底压货一点希望都看不到大爷出院了，还不想着结案????日了狗了2020年的一月快点结束吧?,[],[],0
4.46005E+15,01月12日 23:30,画景董事肤美人,女儿又发烧了……O网页链接?,[],[],-1
4.46006E+15,01月12日 23:52,汙儿,发布了头条文章：《搞笑：发烧的小明被食人族抓住，族长对儿子说：“快，趁热吃！”》O搞笑：发烧的小明被食人族抓住，族长对儿子说：“快，趁热吃！”?,[],[],0
4.45897E+15,01月09日 23:46,SS_霄,我免费围观了@意大利华裔医生在北京和睦家医院的回答，问题价值49.00元，快来一起免费围观~O微博问答?,[],[],0
4.46005E+15,01月12日 23:29,兜兜转转yuan莱是NI,我小可爱发烧三天了，明天该好了吧瘦了半斤多了?,['https://ww4.sinaimg.cn/orj360/cddab614ly1gau73wkseej20v90v9q7e.jpg'],[],0
4.46E+15,01月12日 20:15,尤长靖首张个人专辑,我好像不小心感冒发烧了。。。,['https://ww4.sinaimg.cn/orj360/e36aa6a2ly1gasts6c4y5j23gg56oe8d.jpg'],[],0
4.45976E+15,01月12日 03:53,天藍色的芋頭,"流感發燒到半夜,起來看帥哥治療一下//@Niyuto_amaguri:奇迹芋头//@中岛裕翔的徕卡://@NiyuntoBAL:太喜欢了两次星战特番都好好看好美貌//@格林球:都好好看","['https://ww1.sinaimg.cn/orj360/807f4ef6gy1garvltis7pj21pc2vjh10.jpg', 'https://ww2.sinaimg.cn/orj360/807f4ef6gy1garvlsx7akj21pc2vj7ol.jpg', 'https://ww2.sinaimg.cn/orj360/807f4ef6gy1garvlu94u3j21pc2vjx2q.jpg', 'https://ww4.sinaimg.cn/orj360/807f4ef6gy1garvp59a5fj20u01up1ky.jpg', 'https://ww1.sinaimg.cn/orj360/807f4ef6gy1garvlv25mmj21pc2vjau1.jpg', 'https://ww3.sinaimg.cn/orj360/807f4ef6gy1garvoogy5oj21pc2vj1a4.jpg']",[],0
4.46006E+15,01月12日 23:38,依旧是我哈,睡前祈祷不要发烧，不要发烧，不要发烧不要生病，不要生病，不要生病?,[],[],0
4.46004E+15,01月12日 22:50,布依洛,病初愈，总算能吃点东西了…目前的量是饺子一两，希望能保持，不发烧也不胃疼就是没食欲这样挺好的…???,['https://ww2.sinaimg.cn/orj360/704d7b20ly1gau607inynj21h02m8e82.jpg'],[],1
4.46039E+15,01月13日 21:52,Joy_1231,md，感冒发烧咳嗽，年纪大了一堆破事儿！?,[],[],-1
4.46038E+15,01月13日 20:51,正在闲逛的树袋熊,还是再发誓以后真的不能这样了身体是最重要的哪怕吵架或者干嘛都好但是不能伤害对方身体无论有意无意都要杜绝就像他胃不舒服或者太累了或者睡眠不足或者总加班或者没得按时吃东西或者感冒发烧头痛头晕之类的我都觉得很不开心很心疼何况还是我这种脑残行为以后再也不要了?,[],[],-1
4.46042E+15,01月13日 23:41,西米芋圆加红豆,下午放学感觉有点发烧，找爸爸请了晚修假，在学校呆到差不多七点才走给弟弟圆圆和同学带了点小饼干，给了圆圆一些，结果没想到晚修去不了，剩下的都给了圆圆哈哈哈给弟弟的一直在想要怎么给才会不尴尬，毕竟我，国家一级退堂鼓选手想了好久，最后等我快走的时候，看到弟弟在玩手机，我就在后?展开全文c,['https://ww1.sinaimg.cn/orj360/007YXyuFgy1gavcykybrrj30u0129gyd.jpg'],[],0
4.46038E+15,01月13日 20:56,亲亲梓希,#梓希成长记录—小学记#粑粑到底有几个周末没有正常休了？我已记不得了。麻麻连轴转的这几周，真的好累好累。迎接周末考试，加上财务狗年底忙碌，加上喝咖啡失眠喝咖啡失眠的恶心循环，加上感冒发烧头晕嗓子疼浑身疼。此刻，麻麻躺在床上，天天在收晾衣服。遇到了一个天使宝宝，感恩（笔芯～）终于，?展开全文c,"['https://ww3.sinaimg.cn/thumb150/d432b581gy1gav8bekskfj20u0140tf0.jpg', 'https://ww4.sinaimg.cn/thumb150/d432b581gy1gav8bf7ex6j21hc0u0an9.jpg']",[],-1
4.46035E+15,01月13日 19:01,Oruala,我免费围观了@意大利华裔医生在北京和睦家医院的回答，问题价值49.00元，快来一起免费围观~O网页链接?,[],[],0
4.46042E+15,01月13日 23:51,xlubeier,果然全身一酸痛就预示着要发烧赶紧捂严实睡一觉一个人好惨?,[],[],-1
4.46042E+15,01月13日 23:58,宁古塔?睿,这两年跟腿干上了吗？19年1月27大腿二级烫伤，今天老爷子说大腿的筋无缘无故的像断了一样，还说听到了断裂的声音，晚上临睡前要我明天带他去医院拍片检查。丁丁是不是知道老爷子受伤了？守在门前。让我想起养丁丁的第一年，当时我发烧卧床，小家伙趴在床尾一天。?,['https://ww4.sinaimg.cn/orj360/698c9c9cly1gavdfj2ts2j22c0340npe.jpg'],[],-1
4.46041E+15,01月13日 23:26,今晚一起看星星呀,好久没生病晚上竟然发烧了这滋味是真不好受希望明天早上好起来还有一堆事要忙拜托拜托???,[],[],-1
4.4604E+15,01月13日 22:10,豆儿发芽了,大豆坚强过油了，刚刚才把温度计找出来量体温，才发现在发烧，要是回忆起来这种感觉好像是在坐飞机回家那天开始的，断断续续发烧3天了，最可怕的是我竟然不知道怪不得脑子一直浑浑噩噩的，幸亏没晕?,[],[],0
4.46038E+15,01月13日 21:19,宇宙无敌超级美少女含蓄呀,来牙克石的第二天室内室外冷冷热热发烧断断续续太难受了在车上漂了一天可真是太漂不明白了原地360度漂移哈哈哈哈不是自己车造作起来不心疼爽一直跟瘟鸡一样生病辛苦cc照顾弱鸡媛阿里嘎多并且连带着都玩得不那么开心了我自罚三杯退烧泡腾片嘻嘻?展开全文c,"['https://ww4.sinaimg.cn/thumb150/9799f8c0ly1gav8vqxfp3j23402c0e81.jpg', 'https://ww1.sinaimg.cn/thumb150/9799f8c0ly1gav8uyvvkcj23402c0hdt.jpg', 'https://ww4.sinaimg.cn/thumb150/9799f8c0ly1gav8w4wfzwj23402c0hdt.jpg', 'https://ww3.sinaimg.cn/thumb150/9799f8c0ly1gav8x28x04j24802dcqv7.jpg', 'https://ww4.sinaimg.cn/thumb150/9799f8c0ly1gav8vda5tkj22801o0npd.jpg', 'https://ww4.sinaimg.cn/thumb150/9799f8c0ly1gav8xtcqdxj24802dc1kz.jpg', 'https://ww4.sinaimg.cn/thumb150/9799f8c0ly1gav8yw4w7sj24802dcnpg.jpg', 'https://ww3.sinaimg.cn/thumb150/9799f8c0ly1gav8zfx3o7j233z2c07wj.jpg', 'https://ww3.sinaimg.cn/thumb150/9799f8c0ly1gav8zvleq5j22ys284u0z.jpg']",[],0
4.46037E+15,01月13日 20:48,袁宝丹,和我妈说我发烧了37度5，我妈说没事，正常体温，过会儿再量37度8，我妈说吃颗药就好了，我能长这么大也是不容易呀！?,[],[],0
4.46037E+15,01月13日 20:18,雪格想吃雪糕糕,#冒个泡#终于发烧感冒了2呼和浩特?,['https://ww4.sinaimg.cn/orj360/005RywRcly1gav783znaoj30u0140463.jpg'],[],0
4.46036E+15,01月13日 19:59,Filthy-,发烧感冒嗓子疼吃不进去饭恶心嗜睡……真是伤口上撒盐啊2呼伦贝尔?,['https://ww3.sinaimg.cn/orj360/006DSYRNly1gav6l247k5j32c02c0ars.jpg'],[],-1
4.4604E+15,01月13日 22:33,小王小王是个流氓,皮肤干到要死…希望妈妈醒来嗓子不痛不发烧了爸爸的腰也不疼了腿也不疼了好不好？好！晚安2抚顺?,[],[],1
4.46037E+15,01月13日 20:17,极乐岛上的极乐鸟,循化同城约拍，一起嗨啊！摄影发烧友。小姐姐优先??2海东·循化撒拉族自治县?,['https://ww3.sinaimg.cn/orj360/006G5aEGly1gav772rmydj32eo37khdu.jpg'],[],0
4.46034E+15,01月13日 18:15,大miya要更优秀,我有多久没发烧了?,['https://ww4.sinaimg.cn/orj360/6aee6fc8ly1gav3ndwismj21sc2ds7wm.jpg'],[],0
4.46042E+15,01月13日 23:36,圣代和全家桶,发烧会哭鼻子的人现在也会照顾人了我是真的太爱你了?,[],[],1
4.46041E+15,01月13日 23:18,懒虫团团,感冒了，在发烧没躲过去?,[],[],0
4.46041E+15,01月13日 23:20,玥团团,只有小日常能安慰我这个发烧39°的人了,['https://wx2.sinaimg.cn/large/0077x9VPly1gav34r10hyj30ru0foadf.jpg'],"['https://f.video.weibocdn.com/000HOdR0lx07A7TSsHLa01041202fy670E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&Expires=1582139715&ssig=fyll8lsyqx&KID=unistore,video']",0
4.46041E+15,01月13日 23:23,小小曼曼曼m,老娘身体这么彪悍的人居然莫名其妙发烧了，明天检查身体去了，日常怕死?,[],[],0
4.46041E+15,01月13日 23:17,林小年lxl,好半夜又发烧了医生说多喝热水我照做我好想睡觉啊?,[],[],-1
4.46041E+15,01月13日 23:11,浪花朵朵11111,熊孩子，你爸让把羽绒服装在箱子里，发烧了绕过你爸还是找麻麻！?,['https://ww4.sinaimg.cn/orj360/0082ujejly1gavc8abm28j32io1w0kjm.jpg'],[],-1
4.46076E+15,01月14日 22:35,我的头像是只皮卡丘,宝贝，身体健康，平安无事。求老天爷保佑你健康平安，佛祖保佑你健康平安，观世音菩萨保佑你健康平安！求你，不要感冒发烧！2厦门?,[],[],1
4.46074E+15,01月14日 20:49,花生米玉米都是米米,发烧???，难受没曾想睡个午觉给我睡凉了?,[],[],0
4.46078E+15,01月14日 23:51,吕程,俩笨蛋生病了也粘粘的，结果一个感冒一个发烧?,[],[],0
4.46078E+15,01月14日 23:28,联湾YOUYOU,总结大会前一晚，我终于发烧了。最辛苦的应该是我妈，照顾我，孩子，还有我爸。???在梦里我还在想这个局怎么破，好心累。?,['https://ww2.sinaimg.cn/orj360/6effbf2egy1gawi94z22mj23s051cx6r.jpg'],[],-1
4.4606E+15,01月14日 11:36,芊芊的微微,//@岁月情深长:从重庆到波士顿的一秒切换，一下子就戳到我泪点了。想起九月开学，他剃了个寸头，一切从头开始，踏上全新的征程，在等待他落地波士顿的漫长时间里，老母亲甚至翻来覆去睡不着。他寄回来第一张明信片报平安，结果转眼他就发烧失眠了，看到他背起小书包，又觉得他终于有了他想要的生活,"['https://ww2.sinaimg.cn/thumb150/0061L9kJly1gav9bafqwpj30rs2x91dr.jpg', 'https://ww1.sinaimg.cn/thumb150/0061L9kJly1gav9bapavxj30rs2l81dv.jpg', 'https://ww1.sinaimg.cn/thumb150/0061L9kJly1gav9bbv0nxj30rs2vz4jm.jpg', 'https://ww2.sinaimg.cn/thumb150/0061L9kJly1gav9bctml0j30rs2wne1m.jpg', 'https://ww1.sinaimg.cn/thumb150/0061L9kJly1gav9bd8g6cj30rs37m7s6.jpg', 'https://ww3.sinaimg.cn/thumb150/0061L9kJly1gav9beh5c7g30b405vqv7.jpg', 'https://ww3.sinaimg.cn/thumb150/0061L9kJly1gav9bfjzyog30b405v4qs.jpg', 'https://ww3.sinaimg.cn/thumb150/0061L9kJly1gav9bgnpxeg30b405vnpg.jpg', 'https://ww4.sinaimg.cn/thumb150/0061L9kJly1gav9bicmvsg30b405v4qr.jpg']",[],0
4.46059E+15,01月14日 10:44,一大只胆小,认真想想是输了11瓶吊针，嗓子还是特别难受，不过好歹不发烧了?,[],[],0
4.46078E+15,01月14日 23:27,世康CHEN,整整一个学期都没有生病??偏偏这个时候发烧早知道那天考完概率论就不去南门了这样就不会吹冷风就不会难受??明天还要考试后天还要回家不过还好只是单纯的头疼脑热脑袋一直疼还以为额窦炎复发了呢希望明天一觉醒来满血复活吧???,['https://ww2.sinaimg.cn/orj360/de74ef5aly1gawi3cvt0hj20hs0hsmyb.jpg'],[],-1
4.46078E+15,01月14日 23:22,tolove-towork,关于生病。最近同事们接连生病，让我心生感慨。生病其实并没有带给我不好的回忆，相反，我很多幸福的时刻都和生病有关。小时候的我体弱多病，记得每次生病，赵女士带我去医院输液，都会一直在我身边无微不至地照顾我。小时候馋嘴，都会在刚扎好针或换好瓶子时央求赵女士出去给我买好吃的，我知道?展开全文c,[],[],0
4.46077E+15,01月14日 22:46,couthieID,太厉害了，很微妙,['https://wx1.sinaimg.cn/orj480/007bMoP7ly1gaw95z2kfgj30hs0a0gm5.jpg'],"['https://f.video.weibocdn.com/001v336Llx07A9uwDzmg01041200hRP00E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1582139718&ssig=D6C8KUAg2A&KID=unistore,video']",0
4.46075E+15,01月14日 21:29,tonight806,开热空调真的很干...我上次直接干到发烧??穿秋裤啊！！！//@时代少年团-贺峻霖:不过我想说的是，重庆真的是很冷，但是开了空调的房间又真的太干了，大家有没有什么快捷的办法可以解决这个问题啊……,['https://ww3.sinaimg.cn/orj360/006rt70mly3gawem09snoj30qo0zk7ns.jpg'],[],0
4.46078E+15,01月14日 23:19,铃儿响叮铛1铛铛,感冒，发烧，配着单曲循环，适合涕泣横飞，?,['https://ww4.sinaimg.cn/orj360/bc8c016cgy1gawi0xvdxij20u01hc7wl.jpg'],[],0
4.46077E+15,01月14日 22:55,EITO--K,哎……泡汤回来发烧可还行?,[],[],0
4.46077E+15,01月14日 22:51,花之囚,【发烧会烧坏大脑吗】很多家长纠结这个问题，只有在例如在热天把孩子关在封闭的车里这样极其少见的情况（体温高于42℃），超高的体温才可能会对大脑造成伤害。还有那些例如化脓性脑膜炎之类本身就会坏脑子的病，常常伴有发烧，才会让人误以为是发烧烧坏了脑。其实发热本身并不会对大脑造成多大的伤害。?,['https://ww4.sinaimg.cn/orj360/005vrawDly1gawh9ej23mj30ac0733yj.jpg'],[],0
4.45966E+15,01月11日 21:21,·虚弱体质·,发烧头疼浑身疼…错过了微博之夜和18楼的重逢,[],[],-1
4.46075E+15,01月14日 21:57,zhou南芳,老二发烧，老大还没好。折腾得我好累???,[],[],-1
4.46071E+15,01月14日 19:10,毛栗疯狂想念尤长靖-,见不到尤老师的第三天回家的第一天嗓子发炎报废发烧浑身疼尤老师！你快来！只有你能治好我！?,['https://ww3.sinaimg.cn/orj360/006wqSI1ly1gawavavr9yj334l4osnpe.jpg'],[],0
4.46077E+15,01月14日 23:15,悄悄痊愈,一年一度的发烧，我吐了?,[],[],-1
4.46077E+15,01月14日 23:14,如果没有小虫,我免费围观了@意大利华裔医生在北京和睦家医院的回答，问题价值49.00元，快来一起免费围观~O微博问答?,[],[],0
4.46077E+15,01月14日 23:12,赂智磷砂巧578,崔玉涛讲小儿发烧应该何时去医院，太颠覆我们平时的观念了！（转）L秒拍视频?,['https://ww4.sinaimg.cn/orj480/736f0c7ejw1f6mqwah2jjj20dc0dcjs0.jpg'],"['https://us.sinaimg.cn/003DqSXPjx073TGu4AMn05040100cW1f0k01.mp4?KID=unistore,video&Expires=1582139718&ssig=R3D3uKCpGa&KID=unistore,video']",0
4.46069E+15,01月14日 17:48,小心颜-,检查了两天，发烧了两天，贼难受了，赶紧好吧，明天开始服碘了，都要好好的，健健康康?,['https://ww4.sinaimg.cn/orj360/005T6ae8ly1gaw8gtkia9j31400u0afa.jpg'],[],1
4.46077E+15,01月14日 23:00,蔡蔡的微博博,发烧……?,[],[],0
4.46077E+15,01月14日 23:16,无敌霹雳超超,1y1m15d小家伙今晚忽然发烧了???没有一点防备和征兆思前想后觉得不可能啊既没着凉又没出门疫苗上周刚打完每天真的是细心又小心生怕有一点点不周此刻小家伙睡在我旁边静下心来想可能是因为出牙啊出牙??前两天发现他左下方冒出一点牙的迹象了就是所说的第一磨牙联想到这两天吃饭总是不?展开全文c,['https://ww4.sinaimg.cn/orj360/8f0a3b01ly1gawh1s67xaj20u012mjz9.jpg'],[],-1
4.46076E+15,01月14日 22:14,贴心小温,下周五就过年了然而我连头发还没弄就又加入到了发烧的行列39度8刷新了我高烧的记录了?,['https://ww1.sinaimg.cn/orj360/750f78a5ly1gawg61efr5j20b40b4dgh.jpg'],[],-1
4.46078E+15,01月14日 23:51,躺赢的嗷呜,在医院发烧39度还拿了MVP,['https://ww2.sinaimg.cn/orj360/0068LtYYly1gawb0bon49j30j60fita6.jpg'],[],0
